Comp1-1	Comp1-2	Comp1-3	Mix1	Comp2-1	Comp2-2	Comp2-3	Mix2
0.00000000	0.00110090	0.00009219	44.00000000	0.00000000	0.00112753	0.00007872	113.00000000
0.00000000	0.00108663	0.00009073	40.00000000	0.00000000	0.00111298	0.00007719	120.00000000
0.00000000	0.00107255	0.00008932	44.00000000	0.00000000	0.00109863	0.00007572	123.00000000
0.00000000	0.00105867	0.00008797	51.00000000	0.00000000	0.00108446	0.00007430	109.00000000
0.00000000	0.00104497	0.00008665	41.00000000	0.00000000	0.00107049	0.00007293	117.00000000
0.00000000	0.00103146	0.00008539	44.00000000	0.00000000	0.00105670	0.00007160	102.00000000
0.00000000	0.00101814	0.00008417	42.00000000	0.00000000	0.00104309	0.00007033	101.00000000
0.00000000	0.00100500	0.00008300	38.00000000	0.00000000	0.00102967	0.00006909	113.00000000
0.00000000	0.00099203	0.00008186	40.00000000	0.00000000	0.00101642	0.00006791	108.00000000
0.00000000	0.00097924	0.00008077	44.00000000	0.00000000	0.00100336	0.00006676	118.00000000
0.00000000	0.00096663	0.00007972	38.00000000	0.00000000	0.00099046	0.00006566	94.00000000
0.00000000	0.00095418	0.00007870	47.00000000	0.00000000	0.00097774	0.00006459	111.00000000
0.00000000	0.00094191	0.00007772	49.00000000	0.00000000	0.00096518	0.00006356	95.00000000
0.00000000	0.00092980	0.00007678	43.00000000	0.00000000	0.00095280	0.00006257	103.00000000
0.00000000	0.00091786	0.00007586	29.00000000	0.00000000	0.00094058	0.00006161	102.00000000
0.00000000	0.00090608	0.00007499	41.00000000	0.00000000	0.00092852	0.00006069	106.00000000
0.00000000	0.00089446	0.00007414	37.00000000	0.00000000	0.00091662	0.00005980	93.00000000
0.00000000	0.00088300	0.00007332	49.00000000	0.00000000	0.00090488	0.00005894	76.00000000
0.00000000	0.00087169	0.00007253	37.00000000	0.00000000	0.00089330	0.00005811	87.00000000
0.00000000	0.00086054	0.00007177	33.00000000	0.00000000	0.00088187	0.00005731	95.00000000
0.00000000	0.00084954	0.00007104	37.00000000	0.00000000	0.00087059	0.00005654	89.00000000
0.00000000	0.00083869	0.00007033	31.00000000	0.00000000	0.00085946	0.00005580	69.00000000
0.00000000	0.00082799	0.00006965	31.00000000	0.00000000	0.00084849	0.00005508	103.00000000
0.00000000	0.00081743	0.00006899	37.00000000	0.00000000	0.00083765	0.00005439	91.00000000
0.00000000	0.00080702	0.00006836	44.00000000	0.00000000	0.00082697	0.00005372	89.00000000
0.00000000	0.00079675	0.00006775	37.00000000	0.00000000	0.00081642	0.00005307	84.00000000
0.00000000	0.00078661	0.00006716	41.00000000	0.00000000	0.00080601	0.00005245	106.00000000
0.00000000	0.00077662	0.00006659	26.00000000	0.00000000	0.00079575	0.00005185	74.00000000
0.00000000	0.00076676	0.00006604	39.00000000	0.00000000	0.00078562	0.00005128	105.00000000
0.00000000	0.00075704	0.00006551	30.00000000	0.00000000	0.00077562	0.00005072	88.00000000
0.00000000	0.00074744	0.00006500	38.00000000	0.00000000	0.00076576	0.00005018	71.00000000
0.00000000	0.00073798	0.00006451	27.00000000	0.00000000	0.00075603	0.00004966	63.00000000
0.00000000	0.00072865	0.00006404	28.00000000	0.00000000	0.00074643	0.00004916	72.00000000
0.00000000	0.00071944	0.00006358	25.00000000	0.00000000	0.00073696	0.00004868	71.00000000
0.00000000	0.00071036	0.00006314	28.00000000	0.00000000	0.00072761	0.00004821	65.00000000
0.00000000	0.00070141	0.00006271	28.00000000	0.00000000	0.00071839	0.00004776	71.00000000
0.00000000	0.00069257	0.00006230	37.00000000	0.00000000	0.00070929	0.00004733	70.00000000
